"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\leowi\Documents\GitHub\Skol-projekt\Anura\Assets\Scripts\Enemy\BossEnemy.cs", "C#", 1, 0, -1, 0
"c:\Users\leowi\Documents\GitHub\Skol-projekt\Anura\Assets\Scripts\Items\ItemPickup.cs", "C#", 1, 1, 0, 2
"c:\Users\leowi\Documents\GitHub\Skol-projekt\Anura\Assets\Scripts\Managers\MainMenuManager.cs", "C#", 65, 2, 9, 76
"c:\Users\leowi\Documents\GitHub\Skol-projekt\Anura\Assets\Scripts\Managers\RoomManager.cs", "C#", 38, 8, 8, 54
"c:\Users\leowi\Documents\GitHub\Skol-projekt\Anura\Assets\Scripts\Managers\StatsManager_old.cs", "C#", 0, -23, -7, -30
"c:\Users\leowi\Documents\GitHub\Skol-projekt\Anura\Assets\Scripts\Player\PlayerController.cs", "C#", 16, 5, 1, 22
"c:\Users\leowi\Documents\GitHub\Skol-projekt\Anura\Assets\Scripts\RoomStuff\Portal.cs", "C#", 45, 6, 9, 60
"c:\Users\leowi\Documents\GitHub\Skol-projekt\Anura\Assets\Scripts\RoomStuff\Room.cs", "C#", 17, 0, 1, 18
"c:\Users\leowi\Documents\GitHub\Skol-projekt\Anura\Assets\Scripts\RoomStuff\RoomCollider.cs", "C#", 1, 0, 0, 1
"c:\Users\leowi\Documents\GitHub\Skol-projekt\Anura\Assets\Scripts\Weapon.cs", "C#", 30, 7, 3, 40
"Total", "-", 214, 6, 23, 243
